id,province,municipality,name,lat,lng,type,openAllYear,paid,free,warning,codes,rawTags
50875b31f5f116cc,BIZKAIA,Bakio,Área de Bakio,43.42778,-2.80417,PU,1,1,0,0,PN|AL|AG|AN|JU|RT|SM,(PU)@€/Pn/Al/Ag/An/Ju/Rt/Sm
95674975ac5b53c6,BIZKAIA,Bermeo,Área de Bermeo,43.42306,-2.73472,PU,1,0,1,0,PN|RT|GA,(PU)@#/Pn/Rt/Ga
4e42ff36af1bbddb,BIZKAIA,Bilbao,Parking Bilbao Hostel,43.26194,-2.96056,PK,1,1,0,0,PN|AL|CE|RT|VG|WI,(PK)@€/Pn/Al/Ce/Rt/Vg/Wi
178f1658b2d04774,BIZKAIA,Bilbao,Área de Kobetamendi,43.2589,-2.96268,PU,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|VG|WI,(PU)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Vg/Wi
79fdee56635c2b37,BIZKAIA,Elorrio,Área de Elorrio,43.12833,-2.54583,PU,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|SM|GA,(PU)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm/Ga
0d0a6a77fe9cf74f,BIZKAIA,Gautegiz-Arteaga,Área de Gautegiz-Arteaga,43.34556,-2.65444,PU,1,0,1,0,PN|AL|AG|AN,(PU)@#/Pn/Al/Ag/An
91ae8ba811884a98,BIZKAIA,Lanestosa,Área de Lanestosa,43.21722,-3.43917,PU,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|SM|VG,(PU)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm/Vg
8559700db72fbfd6,BIZKAIA,Lekeitio,Area de Lekeitio,43.35833,-2.50722,PU,1,1,0,0,PN|AL|AG|AN|PI|RT|SM,(PU)@€/Pn/Al/Ag/An/Pi/Rt/Sm
737856b3a96cda73,BIZKAIA,Sopela,Área de Sopela,43.37361,-2.98972,PU,0,0,1,0,AL|AG|AN|CE|PI|JU|RT|SM|GA,(PU)#/Al/Ag/An/Ce/Pi/Ju/Rt/Sm/Ga
4319001234ca8bd5,BIZKAIA,Zalla,Área de Zalla,43.20778,-3.13056,PU,1,0,1,0,PN|AL|AG|AN|RT|SM,(PU)@#/Pn/Al/Ag/An/Rt/Sm
ee2fe52cba958f36,BIZKAIA,Zamudio,Área de Arteaga,43.28556,-2.865,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
5f9eb85714e2270c,BURGOS,Alarcia,Área de Alarcia,42.30444,-3.29639,PU,1,1,0,0,PN|AL|AG|AN|CE|JU|RT,(PU)@€/Pn/Al/Ag/An/Ce/Ju/Rt
73c5e05f42fbd56a,BURGOS,Aranda de Duero,Área de Aranda de Duero,41.67028,-3.69333,PU,1,1,0,0,PN|AL|AG|AN|RT|SM|GA,(PU)@€/Pn/Al/Ag/An/Rt/Sm/Ga
60baa71794e6aafc,BURGOS,Briviesca,Área de Briviesca,42.55117,-3.32861,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm/Ga
57802198a947f2a5,BURGOS,Burgos,Parking de Burgos,42.35083,-3.68028,PK,1,0,1,0,PN|RT|SM|GA,(PK)@#/Pn/Rt/Sm/Ga
7547f26d94926d8e,BURGOS,Burgos,Parking de Santa Teresa,42.34056,-3.69389,PK,1,1,0,0,PN|PI|JU|RT|SM|GA,(PK)@€/Pn/Pi/Ju/Rt/Sm/Ga
0beab48081068f69,BURGOS,Espinosa de los Monteros,Área del Parque Las Cocinas,43.08583,-3.5575,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm
a401dbc76b6fa13d,BURGOS,Frías,Área de Frías,42.76028,-3.29583,PU,1,1,0,0,PN|AL|AG|AN|JU|RT|SM,(PU)@€/Pn/Al/Ag/An/Ju/Rt/Sm
3b3f52fe73172cb4,BURGOS,Hontoria del Pinar,Área del Cañón de Río Lobos,41.84389,-3.16472,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
42fd0fd207da92a6,BURGOS,Lerma,Área de Las Palmeras,42.02806,-3.765,PR,0,1,0,0,AL|AG|AN|CE|PI|RT|SM|GA|VG,(PR)€/Al/Ag/An/Ce/Pi/Rt/Sm/Ga/Vg
b5de3d5436b0a722,BURGOS,Miranda de Ebro,Área de Miranda de Ebro,42.68833,-2.95472,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
d9061ca91671cf7d,BURGOS,Santa María del Campo,Área de Santa María del Campo,42.12833,-3.97167,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
7fdc9c3e43997525,BURGOS,Santelices,Área del Camino Olvidado,43.00389,-3.73889,PR,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|WI,(PR)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Wi
b6988aebb8ff66d3,BURGOS,Villadiego,Área de Villadiego,42.51417,-4.00806,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
aa23a3aa101fb4e6,BURGOS,Villaquirán de los Infantes,Área de Petrovicma,42.22,-3.99889,RU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA|WI,(RU)@#/Pn/Al/Ag/An/Rt/Sm/Ga/Wi
7957241d09765b58,CANTABRIA,Argomilla,Área de Argomilla,43.31333,-3.87944,RU,1,0,1,0,PN|AL|AG|AN|SM|GA,(RU)@#/Pn/Al/Ag/An/Sm/Ga
84ed1fc0bd75bd86,CANTABRIA,Arnuero,Área de Castillo Siete Villas,43.46389,-3.53111,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
